date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140325|0:18|21|Yang Chih Chieh|none|10|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:18|21|Yang Chih Chieh|none|6|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:34|23|Wibowo Kho Henrikho|none|21|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:34|21|Wibowo Kho Henrikho|none|17|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:32|21|Peranut Boontan|none|15|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:32|21|Peranut Boontan|none|18|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325||Walkover Win|Nozomi Okuhara|none|Walkover Loss|Shen Yee Too|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:21|21|Peiy Zhean Lim|none|18|Melinda Sun|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:21|21|Peiy Zhean Lim|none|7|Melinda Sun|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|1:11|14|Susanto Yulia Yosephin|none|21|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|1:11|21|Susanto Yulia Yosephin|none|15|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|1:11|21|Susanto Yulia Yosephin|none|18|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:38|21|Yuki Fukushima|none|13|Chiew Sien Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:38|21|Yuki Fukushima|none|9|Chiew Sien Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:20|21|Xiaoyu Liang|none|11|Anna Astrakhantseva|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:20|21|Xiaoyu Liang|none|8|Anna Astrakhantseva|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:21|21|Cheng Shao Chieh |none|13|Peiy Yee, Payee Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:21|21|Cheng Shao Chieh |none|12|Peiy Yee, Payee Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:34|21|Yin Fun Lim|none|14|Sayaka Hirota|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:34|21|Yin Fun Lim|none|15|Sayaka Hirota|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:50|24|Wisara Makasasitorn|none|22|Jesica Muljati|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:50|23|Wisara Makasasitorn|none|21|Jesica Muljati|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:19|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|10|Wong Kin Yik|Krishna Kumar S|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:19|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|11|Wong Kin Yik|Krishna Kumar S|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Chu-En Huang|Wang Chia Min|11|Jonas Christensen|Yogendran Khrishnan|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Chu-En Huang|Wang Chia Min|14|Jonas Christensen|Yogendran Khrishnan|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:24|21|Danny Bawa Chrisnanta|Chayut Triyachart|11|Chao Huang|Zi Liang Derek Wong|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:24|21|Danny Bawa Chrisnanta|Chayut Triyachart|18|Chao Huang|Zi Liang Derek Wong|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:19|21|Wei Chen Liu|Yang Po Han|15|Muthyal Shiva Kumar|T. Dinesh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:19|21|Wei Chen Liu|Yang Po Han|5|Muthyal Shiva Kumar|T. Dinesh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Andrei Adistia|Hendra Aprida Gunawan|14|Jiann Shiarng Chiang|Kay Ee Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Andrei Adistia|Hendra Aprida Gunawan|16|Jiann Shiarng Chiang|Kay Ee Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:18|21|Wang Yilv|Zhang Wen|7|Chun Quan Chong|Seng Zoe Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:18|21|Wang Yilv|Zhang Wen|5|Chun Quan Chong|Seng Zoe Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:22|21|Chua Khek Wei|Di Hua Ng|12|Mayank Behal [2]|Gaurav Venkat|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:22|21|Chua Khek Wei|Di Hua Ng|17|Mayank Behal [2]|Gaurav Venkat|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:23|21|Li Gen |Liu Cheng|12|Prem Singh Chouhan|Manish Gupta|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:23|21|Li Gen |Liu Cheng|17|Prem Singh Chouhan|Manish Gupta|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:21|21|Gaurav Venkat |none|9|Zheng Lai Ee|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:21|21|Gaurav Venkat |none|12|Zheng Lai Ee|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:16|21|Yang Chih Chieh|none|10|Wei Chong Man|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:16|21|Yang Chih Chieh|none|8|Wei Chong Man|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:26|21|Seng Zoe Yeoh |none|8|Kay Ee Yeoh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:26|21|Seng Zoe Yeoh |none|13|Kay Ee Yeoh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:59|19|Danny Bawa Chrisnanta|Chayut Triyachart|21|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:59|21|Danny Bawa Chrisnanta|Chayut Triyachart|17|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:59|24|Danny Bawa Chrisnanta|Chayut Triyachart|22|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:22|21|Kaesar Akbar|none|18|Zulhelmi Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:22|21|Kaesar Akbar|none|16|Zulhelmi Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:24|21|Wibowo Kho Henrikho|none|8|Yee Jian Kwek|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:24|21|Wibowo Kho Henrikho|none|5|Yee Jian Kwek|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:30|21|Andrew Susanto |none|17|Chun Quan Chong|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:30|21|Andrew Susanto |none|14|Chun Quan Chong|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:20|21|Peranut Boontan|none|10|Faiz Rozain|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:20|21|Peranut Boontan|none|16|Faiz Rozain|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:29|18|Krishna Kumar S |none|21|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:29|21|Krishna Kumar S |none|6|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:29|21|Krishna Kumar S |none|6|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:24|21|Wang Yilv |Ou Dongni|18|Wang Chia Min|Ya-Han Chang|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:24|21|Wang Yilv |Ou Dongni|8|Wang Chia Min|Ya-Han Chang|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Didit Juang|Komala Dewi|15|Shane Thomas Masinipeni [1]|Maria Mata Masinipeni|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Didit Juang|Komala Dewi|17|Shane Thomas Masinipeni [1]|Maria Mata Masinipeni|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:30|21|Peng Soon Chan|Pei Jing Lai|15|Liao Kuan Hao|Pai Hsiao Ma|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:30|21|Peng Soon Chan|Pei Jing Lai|9|Liao Kuan Hao|Pai Hsiao Ma|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:37|21|Yuki Fukushima|none|15|Susanto Yulia Yosephin|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:37|21|Yuki Fukushima|none|10|Susanto Yulia Yosephin|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:27|21|Yang Po Han|Chen Hung Yu|19|Jian Yi Lee|Peiy Zhean Lim|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:27|21|Yang Po Han|Chen Hung Yu|16|Jian Yi Lee|Peiy Zhean Lim|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:39|21|Andrei Adistia|Hendra Aprida Gunawan|15|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:39|17|Andrei Adistia|Hendra Aprida Gunawan|21|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:39|21|Andrei Adistia|Hendra Aprida Gunawan|13|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:26|21|Xiaoyu Liang|none|14|Cheng Shao Chieh [3]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:26|21|Xiaoyu Liang|none|15|Cheng Shao Chieh [3]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:37|10|Chu-En Huang|Wang Chia Min|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:37|21|Chu-En Huang|Wang Chia Min|13|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:37|21|Chu-En Huang|Wang Chia Min|8|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:34|21|Yin Fun Lim|none|17|Wisara Makasasitorn|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:34|21|Yin Fun Lim|none|13|Wisara Makasasitorn|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:27|21|Wang Yilv|Zhang Wen|15|Chua Khek Wei|Di Hua Ng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:27|21|Wang Yilv|Zhang Wen|11|Chua Khek Wei|Di Hua Ng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140325|0:20|21|Nozomi Okuhara|none|10|Peiy Zhean Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140325|0:20|21|Nozomi Okuhara|none|9|Peiy Zhean Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:18|21|Yang Chih Chieh|none|10|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:18|21|Yang Chih Chieh|none|6|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:34|23|Wibowo Kho Henrikho|none|21|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:34|21|Wibowo Kho Henrikho|none|17|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:32|21|Peranut Boontan|none|15|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:32|21|Peranut Boontan|none|18|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326||Walkover Win|Nozomi Okuhara|none|Walkover Loss|Shen Yee Too|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:21|21|Peiy Zhean Lim|none|18|Melinda Sun|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:21|21|Peiy Zhean Lim|none|7|Melinda Sun|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|1:11|14|Susanto Yulia Yosephin|none|21|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|1:11|21|Susanto Yulia Yosephin|none|15|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|1:11|21|Susanto Yulia Yosephin|none|18|Iris Wang [4]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:38|21|Yuki Fukushima|none|13|Chiew Sien Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:38|21|Yuki Fukushima|none|9|Chiew Sien Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:20|21|Xiaoyu Liang|none|11|Anna Astrakhantseva|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:20|21|Xiaoyu Liang|none|8|Anna Astrakhantseva|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:21|21|Cheng Shao Chieh |none|13|Peiy Yee, Payee Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:21|21|Cheng Shao Chieh |none|12|Peiy Yee, Payee Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:34|21|Yin Fun Lim|none|14|Sayaka Hirota|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:34|21|Yin Fun Lim|none|15|Sayaka Hirota|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:50|24|Wisara Makasasitorn|none|22|Jesica Muljati|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:50|23|Wisara Makasasitorn|none|21|Jesica Muljati|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:19|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|10|Wong Kin Yik|Krishna Kumar S|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:19|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|11|Wong Kin Yik|Krishna Kumar S|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Chu-En Huang|Wang Chia Min|11|Jonas Christensen|Yogendran Khrishnan|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Chu-En Huang|Wang Chia Min|14|Jonas Christensen|Yogendran Khrishnan|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:24|21|Danny Bawa Chrisnanta|Chayut Triyachart|11|Chao Huang|Zi Liang Derek Wong|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:24|21|Danny Bawa Chrisnanta|Chayut Triyachart|18|Chao Huang|Zi Liang Derek Wong|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:19|21|Wei Chen Liu|Yang Po Han|15|Muthyal Shiva Kumar|T. Dinesh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:19|21|Wei Chen Liu|Yang Po Han|5|Muthyal Shiva Kumar|T. Dinesh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Andrei Adistia|Hendra Aprida Gunawan|14|Jiann Shiarng Chiang|Kay Ee Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Andrei Adistia|Hendra Aprida Gunawan|16|Jiann Shiarng Chiang|Kay Ee Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:18|21|Wang Yilv|Zhang Wen|7|Chun Quan Chong|Seng Zoe Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:18|21|Wang Yilv|Zhang Wen|5|Chun Quan Chong|Seng Zoe Yeoh|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:22|21|Chua Khek Wei|Di Hua Ng|12|Mayank Behal [2]|Gaurav Venkat|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:22|21|Chua Khek Wei|Di Hua Ng|17|Mayank Behal [2]|Gaurav Venkat|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:23|21|Li Gen |Liu Cheng|12|Prem Singh Chouhan|Manish Gupta|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:23|21|Li Gen |Liu Cheng|17|Prem Singh Chouhan|Manish Gupta|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:21|21|Gaurav Venkat |none|9|Zheng Lai Ee|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:21|21|Gaurav Venkat |none|12|Zheng Lai Ee|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:16|21|Yang Chih Chieh|none|10|Wei Chong Man|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:16|21|Yang Chih Chieh|none|8|Wei Chong Man|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:26|21|Seng Zoe Yeoh |none|8|Kay Ee Yeoh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:26|21|Seng Zoe Yeoh |none|13|Kay Ee Yeoh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:59|19|Danny Bawa Chrisnanta|Chayut Triyachart|21|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:59|21|Danny Bawa Chrisnanta|Chayut Triyachart|17|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:59|24|Danny Bawa Chrisnanta|Chayut Triyachart|22|Wei Chen Liu|Yang Po Han|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:22|21|Kaesar Akbar|none|18|Zulhelmi Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:22|21|Kaesar Akbar|none|16|Zulhelmi Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:24|21|Wibowo Kho Henrikho|none|8|Yee Jian Kwek|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:24|21|Wibowo Kho Henrikho|none|5|Yee Jian Kwek|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:30|21|Andrew Susanto |none|17|Chun Quan Chong|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:30|21|Andrew Susanto |none|14|Chun Quan Chong|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:20|21|Peranut Boontan|none|10|Faiz Rozain|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:20|21|Peranut Boontan|none|16|Faiz Rozain|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:29|18|Krishna Kumar S |none|21|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:29|21|Krishna Kumar S |none|6|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:29|21|Krishna Kumar S |none|6|Zulfaiz Bin Zulkiffli|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:24|21|Wang Yilv |Ou Dongni|18|Wang Chia Min|Ya-Han Chang|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:24|21|Wang Yilv |Ou Dongni|8|Wang Chia Min|Ya-Han Chang|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Didit Juang|Komala Dewi|15|Shane Thomas Masinipeni [1]|Maria Mata Masinipeni|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Didit Juang|Komala Dewi|17|Shane Thomas Masinipeni [1]|Maria Mata Masinipeni|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:30|21|Peng Soon Chan|Pei Jing Lai|15|Liao Kuan Hao|Pai Hsiao Ma|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:30|21|Peng Soon Chan|Pei Jing Lai|9|Liao Kuan Hao|Pai Hsiao Ma|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:37|21|Yuki Fukushima|none|15|Susanto Yulia Yosephin|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:37|21|Yuki Fukushima|none|10|Susanto Yulia Yosephin|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:27|21|Yang Po Han|Chen Hung Yu|19|Jian Yi Lee|Peiy Zhean Lim|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:27|21|Yang Po Han|Chen Hung Yu|16|Jian Yi Lee|Peiy Zhean Lim|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:39|21|Andrei Adistia|Hendra Aprida Gunawan|15|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:39|17|Andrei Adistia|Hendra Aprida Gunawan|21|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:39|21|Andrei Adistia|Hendra Aprida Gunawan|13|Li Gen [4]|Liu Cheng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:26|21|Xiaoyu Liang|none|14|Cheng Shao Chieh [3]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:26|21|Xiaoyu Liang|none|15|Cheng Shao Chieh [3]|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:37|10|Chu-En Huang|Wang Chia Min|21|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:37|21|Chu-En Huang|Wang Chia Min|13|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:37|21|Chu-En Huang|Wang Chia Min|8|Muhammad Aliff Nurizwan|Muhammad Amzzar Zainuddin|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:34|21|Yin Fun Lim|none|17|Wisara Makasasitorn|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:34|21|Yin Fun Lim|none|13|Wisara Makasasitorn|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:27|21|Wang Yilv|Zhang Wen|15|Chua Khek Wei|Di Hua Ng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:27|21|Wang Yilv|Zhang Wen|11|Chua Khek Wei|Di Hua Ng|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|doubles
20140326|0:20|21|Nozomi Okuhara|none|10|Peiy Zhean Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140326|0:20|21|Nozomi Okuhara|none|9|Peiy Zhean Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:18|21|Yang Chih Chieh|none|10|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:18|21|Yang Chih Chieh|none|6|Ze Feng Loh|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:24|21|Zulhelmi Zulkiffli|none|17|Manish Gupta|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:34|23|Wibowo Kho Henrikho|none|21|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:34|21|Wibowo Kho Henrikho|none|17|Zhen Ting Lim|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:32|21|Peranut Boontan|none|15|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327|0:32|21|Peranut Boontan|none|18|Rudi Cahyadi Budhiawan|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
20140327||Walkover Win|Nozomi Okuhara|none|Walkover Loss|Shen Yee Too|none|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|singles
